Rank	Game	Score	VoteCount	Years
66	Barrow Hill: Curse of the Ancient Circle	7.05	187	2006
67	Act of War: High Treason	7.04	498	2006
68	Cossacks II: Battle for Europe	7.03	1071	2006
69	Tom Clancy's Rainbow Six® Vegas	7.02	1459	2006
70	Nancy Drew®: Danger by Design	6.92	153	2006
71	Hidden Expedition: Titanic	6.91	27	2006
72	Strategic Command Classic: WWII	6.86	31	2006
73	AstroPop Deluxe	6.79	111	2006
74	Dangerous Waters	6.79	370	2006
75	Half-Life Deathmatch: Source	6.75	4798	2006
76	Xpand Rally Xtreme	6.72	385	2006
77	Paws and Claws: Pet School	6.71	11	2006
78	Atlantis Sky Patrol	6.69	21	2006
79	Battle Of Europe	6.63	29	2006
80	Battle Mages: Sign of Darkness	6.62	158	2006
81	Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113	6.58	791	2006
82	CivCity: Rome	6.5	844	2006
83	MX vs. ATV Unleashed	6.48	634	2006
84	RoboBlitz	6.46	87	2006
85	RACE - The WTCC Game	6.45	196	2006
86	Sid Meier's Railroads!	6.44	3221	2006
87	Vegas: Make It Big™	6.42	161	2006
88	Earth 2160	6.42	1395	2006
89	Space Empires V	6.42	449	2006
90	Wildlife Park 2	6.41	543	2006
91	The Ship: Single Player	6.4	932	2006
92	The Guild II	6.4	811	2006
93	Caesar™ IV	6.37	771	2006
94	Hunting Unlimited 4	6.36	27	2006
95	Full Spectrum Warrior: Ten Hammers	6.36	217	2006
96	War on Folvos	6.36	134	2006
97	Sevgilim Olur musun ?	6.33	994	2006
98	Tanita: A Plasticine Dream	6.33	11	2006
99	El Matador	6.33	520	2006
100	Nancy Drew®: The Creature of Kapu Cave	6.3	160	2006
101	Brigade E5: New Jagged Union	6.27	137	2006
102	Call of Cthulhu®: Dark Corners of the Earth	6.24	3157	2006
103	Disney's Chicken Little: Ace in Action	6.22	78	2006
104	Just Cause	6.14	4892	2006
105	3D Ultra™ Minigolf Adventures	6.1	125	2006
106	AGON - The Mysterious Codex (Trilogy)	6.07	87	2006
107	Urban Rivals	6.04	632	2006
108	鋼鉄戦記C21	5.95	122	2006
109	Reiterland - Meine Rennpferde	5.84	1	2006
110	Premier Manager 06/07	5.79	4	2006
111	Iron Warriors: T - 72 Tank Command	5.77	290	2006
112	Perimeter: Emperor's Testament	5.73	47	2006
113	The Stalin Subway	5.73	676	2006
114	Sea Dogs: Caribbean Tales	5.71	127	2006
115	Al Emmo and the Lost Dutchman's Mine	5.71	70	2006
116	Pacific Storm	5.7	67	2006
117	Tom Clancy's Rainbow Six Lockdown™	5.69	475	2006
118	Disney•Pixar Cars: Radiator Springs Adventures	5.61	119	2006
119	Safecracker: The Ultimate Puzzle Adventure	5.58	613	2006
120	Guilty Gear Isuka	5.37	524	2006
121	Elite Warriors: Vietnam	5.32	41	2006
122	Wings Over Europe	5.25	118	2006
123	Poker Superstars II	5	16	2006
124	Color Sudoku	5	2	2006
125	Desperados 2: Cooper's Revenge	4.99	281	2006
126	Gumboy - Crazy Adventures™	4.93	129	2006
127	High On Racing	4.83	269	2006
128	The Stalin Subway: Red Veil	4.82	570	2006
129	BorderZone	4.61	120	2006
130	Broken Sword 4 - the Angel of Death (2006)	4.52	471	2006
131	Desert Gunner	4.48	69	2006
132	Tycoon City: New York	4.46	269	2006
133	Nux	4.3	464	2006
134	Domino	4.21	21	2006
135	Tom Clancy's Splinter Cell Double Agent®	4.11	1659	2006
1	Portal	8.77	175470	2007
2	Half-Life 2: Episode Two	8.55	41883	2007
3	Peggle Deluxe	8.45	10387	2007
4	The Elder Scrolls IV: Oblivion® Game of the Year Edition	8.44	49038	2007
5	S.T.A.L.K.E.R.: Shadow of Chernobyl	8.38	46720	2007
6	BioShock™	8.31	30679	2007
7	Civilization IV: Beyond the Sword	8.29	4527	2007
8	Touhou Fuujinroku ~ Mountain of Faith.	8.28	1189	2007
9	Narcissu 1st & 2nd	8.25	4809	2007
10	Call of Duty® 4: Modern Warfare® (2007)	8.24	24849	2007
11	Team Fortress 2	8.17	1150232	2007
12	Sprout	8.14	1674	2007
13	Overlord™	8.12	6305	2007
14	Peggle Extreme	8.08	2349	2007
15	Burger Shop	8.07	322	2007
16	Heroes of Might & Magic V: Tribes of the East	7.98	2879	2007
17	Heretic: Shadow of the Serpent Riders	7.95	1123	2007
18	Medieval II: Total War™ Kingdoms	7.93	633	2007
19	Command & Conquer 3 Tiberium Wars™	7.9	8350	2007
20	Penumbra Overture	7.84	3728	2007
21	Thrillville®: Off the Rails™	7.84	864	2007
22	Company of Heroes: Opposing Fronts	7.8	1127	2007
23	Farm Frenzy	7.76	161	2007
24	Supreme Commander	7.73	2896	2007
25	Teeworlds	7.72	4379	2007
26	Geometry Wars: Retro Evolved	7.71	1030	2007
27	Driver® Parallel Lines	7.69	1324	2007
28	Disney Princess: Enchanted Journey	7.68	552	2007
29	Plant Tycoon	7.66	199	2007
30	Redneck Kentucky and the Next Generation Chickens	7.65	117	2007
31	Disney•Pixar Cars Mater-National Championship	7.65	516	2007
32	Ascension to the Throne	7.59	606	2007
33	Professor Fizzwizzle and the Molten Mystery	7.58	39	2007
34	Aquaria	7.58	1485	2007
35	Nancy Drew®: Legend of the Crystal Skull	7.53	196	2007
36	PuzzleQuest: Challenge of the Warlords	7.51	1057	2007
37	Zombie Panic! Source	7.5	7711	2007
38	Luxor 3	7.49	202	2007
39	RACE 07	7.46	2655	2007
40	LEGIE	7.37	143	2007
41	Virtual Villagers: The Lost Children	7.33	74	2007
42	Rayman Raving Rabbids™	7.32	1668	2007
43	Tomb Raider: Anniversary	7.31	6615	2007
44	Europa Universalis III Complete	7.31	1964	2007
45	Eschalon: Book I	7.3	364	2007
46	Bus Driver	7.22	2214	2007
47	Zombie Shooter	7.21	1203	2007
48	Crysis	7.19	13199	2007
49	Immortal Defense	7.19	202	2007
50	Lost Planet™: Extreme Condition	7.17	1911	2007
51	Call of Juarez	7.14	3913	2007
52	Build-A-Lot	7.12	63	2007
53	Chromadrome 2	7.09	41	2007
54	Armageddon Empires	7.07	40	2007
55	Cradle of Rome	7.04	57	2007
56	Free Running	7.03	119	2007
57	TimeShift™	7	1325	2007
58	Magi	6.95	22	2007
59	Die drei Freunde von der Reitschule	6.94	8	2007
60	Hunting Unlimited™ 2008	6.93	67	2007
61	Hard to Be a God	6.92	123	2007
62	Making History: The Calm & the Storm	6.91	614	2007
63	FreakOut: Extreme Freeride	6.88	84	2007
64	Battlestations: Midway	6.87	906	2007
65	Mystery P.I.™ - The Lottery Ticket	6.83	61	2007
66	Premier Manager 08	6.8	6	2007
67	A.I.M.2 Clan Wars	6.8	486	2007
68	Mr. Robot	6.78	87	2007
69	Empress Of The Deep 2: Song Of The Blue Whale	6.78	110	2007
70	Death to Spies	6.75	928	2007
71	Fish Fillets 2	6.72	286	2007
72	Jade Empire™: Special Edition	6.71	1925	2007
73	Disney Pirates of the Caribbean: At Worlds End	6.71	432	2007
74	7,62 High Calibre	6.67	452	2007
75	Depths of Peril	6.67	155	2007
76	Blockland	6.65	5556	2007
77	Amazing Adventures The Lost Tomb™	6.63	81	2007
78	Season Match	6.59	202	2007
79	Wildlife Park 2 - Horses	6.57	82	2007
80	Mystery Case Files: Madame Fate®	6.57	90	2007
81	Petz® Horsez® 2	6.51	207	2007
82	Cradle of Persia	6.5	13	2007
83	Painkiller Overdose	6.49	1101	2007
84	18 Wheels of Steel: American Long Haul	6.46	491	2007
85	ShellBlast: Legacy Edition	6.46	8	2007
86	Culpa Innata	6.45	109	2007
87	Escape From Paradise	6.41	16	2007
88	Parkan 2	6.38	367	2007
89	Mahjongg Investigations: Under Suspicion	6.34	34	2007
90	The Guild II - Pirates of the European Seas	6.33	250	2007
91	Nancy Drew®: The White Wolf of Icicle Creek	6.31	218	2007
92	Silent Hunter®: Wolves of the Pacific	6.31	1039	2007
93	ThreadSpace: Hyperbol	6.26	46	2007
94	Sudden Strike 3	6.24	200	2007
95	Champions of Regnum	6.22	1187	2007
96	Guild Wars: Eye of the North®	6.21	2	2007
97	Sinking Island	6.2	253	2007
98	Wildlife Park 2 - Marine World	6.11	45	2007
99	Wildlife Park 2 - Crazy Zoo	6.09	60	2007
100	Naughty study for exams with a ghost	6.07	12	2007
101	Ankh 2: Heart of Osiris	6.03	64	2007
102	Hidden Expedition: Everest	6.02	18	2007
103	UFO: Afterlight	5.96	514	2007
104	Loki	5.85	222	2007
105	Theatre of War	5.81	345	2007
106	Miss Popularity	5.81	7	2007
107	Shadowgrounds Survivor	5.7	775	2007
108	RIP - Trilogy™	5.66	381	2007
109	Alpha Zylon	5.65	171	2007
110	Platypus II	5.64	584	2007
111	Pacific Storm Allies	5.59	228	2007
112	Pe-2: Dive Bomber	5.56	16	2007
113	eXperience 112	5.55	111	2007
114	Spaceforce Rogue Universe HD	5.53	50	2007
115	Mahjong Roadshow™	5.5	13	2007
116	TriJinx: A Kristine Kross Mystery™	5.49	8	2007
117	Silverfall	5.43	145	2007
118	Runaway, The Dream of The Turtle	5.41	352	2007
119	Panzer Killer	5.4	24	2007
120	Alpha Prime	5.35	1457	2007
121	Aggression: Europe Under Fire	5.2	116	2007
122	Democracy 2	5.19	109	2007
123	Bullet Candy	5.1	85	2007
124	Mayhem Intergalactic	5.09	27	2007
125	Freight Tycoon Inc.	5.07	466	2007
126	Venture Arctic	5	6	2007
127	Crossfire: Dungeons	4.97	89	2007
128	RACE: Caterham Expansion	4.83	13	2007
129	Brain Spa	4.78	9	2007
130	Ducati World Championship	4.71	199	2007
131	Pinball	4.64	12	2007
132	Ride! Carnival Tycoon	4.62	49	2007
133	Grand horse attraction	4.5	13	2007
134	Hide and Secret Treasure of the Ages	4.45	70	2007
135	Close Combat: Modern Tactics	4.44	26	2007
136	Panzer Elite Action Gold Edition	4.43	233	2007
137	Genesis Rising	3.82	159	2007
138	Pacific Liberation Force	3.79	17	2007
139	Hard Truck Apocalypse: Arcade / Ex Machina: Arcade	3.79	244	2007
140	Prison Tycoon 3™: Lockdown	3.32	119	2007
1	Left 4 Dead	8.53	60852	2008
2	AudioSurf	8.33	10941	2008
3	Defense Grid: The Awakening	8.29	5113	2008
4	Peggle™ Nights	8.23	2587	2008
5	SPORE™	8.23	65110	2008
6	Mass Effect (2007)	8.22	16408	2008
7	Call of Duty: World at War	8.21	50138	2008
8	World of Goo	8.17	6007	2008
9	Dead Space (2008)	8.12	27486	2008
10	Trackmania United Forever	8.11	2594	2008
11	Disney•Pixar WALL-E	8.11	1176	2008
12	Touhou Chireiden ~ Subterranean Animism.	8.09	623	2008
13	Mount & Blade	8.04	6404	2008
14	The Witcher: Enhanced Edition Director's Cut	7.98	81864	2008
15	TrackMania Nations Forever	7.98	23468	2008
16	Overlord™: Raising Hell	7.97	2311	2008
17	LEGO® Batman™: The Videogame	7.88	12161	2008
18	King's Bounty: The Legend	7.86	3270	2008
19	FlatOut: Ultimate Carnage Collector's Edition	7.84	6552	2008
20	Brothers in Arms: Hell's Highway™	7.82	2149	2008
21	Gravity Bone	7.76	436	2008
22	Farm Frenzy 2	7.73	178	2008
23	SPORE™ Creepy & Cute Parts Pack	7.71	2007	2008
24	LEGO® Indiana Jones™: The Original Adventures	7.7	3799	2008
25	Penguins Arena: Sedna's World	7.69	1381	2008
26	Fantastic Contraption Classic 1 & 2	7.66	80	2008
27	Monsters' Den: Book of Dread	7.65	248	2008
28	S.T.A.L.K.E.R.: Clear Sky	7.64	21965	2008
29	Musaic Box	7.62	256	2008
30	Bully: Scholarship Edition	7.6	35703	2008
31	Everyday Shooter	7.6	116	2008
32	Command & Conquer™ Red Alert™ 3	7.6	14864	2008
33	Planet Alcatraz 2	7.56	292	2008
34	The Mirror Lied	7.53	890	2008
35	Crysis Warhead®	7.52	3789	2008
36	Geneforge 5: Overthrow	7.5	117	2008
37	Tom Clancy's Rainbow Six® Vegas 2	7.49	5690	2008
38	Sid Meier's Civilization IV: Colonization	7.49	1373	2008
39	Precipice of Darkness, Episode One	7.48	509	2008
40	Build-A-Lot 2: Town of the Year	7.47	28	2008
41	X3: Terran Conflict	7.47	2780	2008
42	Sword of the Stars: Complete Collection	7.46	674	2008
43	Empires Mod	7.45	1040	2008
44	Euro Truck Simulator	7.41	7237	2008
45	Nancy Drew®: The Phantom of Venice	7.41	181	2008
46	Virtual Villagers - The Secret City	7.37	128	2008
47	Assassin's Creed™: Director's Cut Edition	7.34	21388	2008
48	Spectromancer	7.34	337	2008
49	Fallout 3	7.3	20792	2008
50	Wizard101	7.3	8000	2008
51	Imperium Romanum Gold Edition	7.22	452	2008
52	Nethergate: Resurrection	7.21	98	2008
53	Hunting Unlimited 2009	7.21	48	2008
54	BRAINPIPE: A Plunge to Unhumanity	7.21	199	2008
55	Guild Wars® Trilogy	7.2	40	2008
56	Making History: The Calm and the Storm Gold Edition	7.18	175	2008
57	Children of the Nile: Enhanced Edition	7.17	437	2008
58	Trials 2: Second Edition	7.16	261	2008
59	Bejeweled Twist	7.14	534	2008
60	Obscure II (Obscure: The Aftermath)	7.12	1334	2008
61	Warfare	7.11	221	2008
62	Ninja Reflex: Steamworks Edition	7.1	61	2008
63	The Lost Crown	7.09	489	2008
64	Precipice of Darkness, Episode Two	7.06	189	2008
65	Children of the Nile: Alexandria	7.06	156	2008
66	FATE: Undiscovered Realms	7.05	432	2008
67	Multiwinia	7.05	582	2008
68	My Tribe	7.03	131	2008
69	Prince of Persia®	6.98	3407	2008
70	Far Cry® 2	6.97	16549	2008
71	Silent Hunter®: Wolves of the Pacific U-Boat Missions	6.94	303	2008
72	Coffee Rush	6.94	8	2008
73	Disney High School Musical 3: Senior Year Dance	6.94	115	2008
74	Tomb Raider: Underworld	6.91	6126	2008
75	Ascension to the Throne: Valkyrie	6.88	7	2008
76	Amazing Adventures Around the World	6.85	92	2008
77	Mystery P.I.™ - The Vegas Heist	6.85	62	2008
78	Luxor: Quest for the Afterlife	6.84	125	2008
79	The Wonderful End of the World	6.84	677	2008
80	Galactic Civilizations® II: Ultimate Edition	6.83	1633	2008
81	Hinterland	6.82	245	2008
82	7 Wonders II	6.79	201	2008
83	The Wizard's Pen™	6.79	44	2008
84	City Life 2008	6.75	220	2008
85	Supreme Ruler 2020 Gold	6.72	250	2008
86	Disney Bolt	6.72	212	2008
87	UberSoldier II	6.72	570	2008
88	Spectraball	6.71	497	2008
89	Gravitron 2	6.7	31	2008
90	The Abbey - Director's cut	6.69	26	2008
91	Harvest: Massive Encounter	6.68	156	2008
92	Azada	6.63	47	2008
93	Sledgehammer / Gear Grinder	6.62	162	2008
94	Project Torque - Free 2 Play MMO Racing Game	6.6	1886	2008
95	Insecticide Part 1	6.58	456	2008
96	Overclocked: A History of Violence	6.58	130	2008
97	Sherlock Holmes: The Awakened (2008)	6.55	787	2008
98	Chaos Theory	6.5	13	2008
99	AGON - The Lost Sword of Toledo	6.49	81	2008
100	Collapse	6.48	910	2008
101	Sherlock Holmes - Nemesis	6.43	644	2008
102	Combat Wings	6.43	74	2008
103	Dracula: Origin	6.41	324	2008
104	Pipe Mania	6.41	16	2008
105	7 Wonders: Treasures of Seven	6.38	143	2008
106	Art of Murder - FBI Confidential	6.37	222	2008
107	Tico	6.34	7	2008
108	A Vampyre Story	6.32	219	2008
109	MahJong	6.3	22	2008
110	Gumboy Tournament	6.27	465	2008
111	Empire of the Gods	6.26	80	2008
112	The Royal Marines Commando	6.25	224	2008
113	Frontlines™: Fuel of War™	6.2	985	2008
114	Silverfall: Earth Awakening	6.2	90	2008
115	Requiem: Desiderium Mortis	6.18	896	2008
116	Zezenia Online	6.15	317	2008
117	Nancy Drew® Dossier: Lights, Camera, Curses!	6.12	77	2008
118	Chronicles of Mystery: The Scorpio Ritual	6.12	154	2008
119	Yumsters 2: Around the World	6.09	97	2008
120	Fitness Dash™	6.04	15	2008
121	Europa Universalis: Rome - Gold Edition	6.03	229	2008
122	Luxor	6	122	2008
123	Book of Legends	5.97	8	2008
124	A列車で行こう8	5.95	11	2008
125	Townopolis	5.95	130	2008
126	Little Farm	5.92	123	2008
127	Hidden Expedition: Amazon	5.87	25	2008
128	Fiesta Online NA	5.76	761	2008
129	Mosby's Confederacy	5.73	39	2008
130	BC Kings	5.72	202	2008
131	The Graveyard	5.71	606	2008
132	Rhiannon: Curse of the Four Branches	5.7	147	2008
133	Bionic Commando: Rearmed	5.67	1093	2008
134	Pyroblazer®	5.67	9	2008
135	Nodiatis	5.65	91	2008
136	Mission Runway	5.65	22	2008
137	MiniOne Racing	5.64	55	2008
138	Season Match 2	5.6	121	2008
139	Dangerous High School Girls in Trouble!™	5.59	201	2008
140	Tank Universal	5.57	438	2008
141	Exodus from the Earth	5.56	228	2008
142	Samantha Swift and the Hidden Roses of Athena	5.54	89	2008
143	The Club™	5.5	173	2008
144	Mata Hari	5.48	141	2008
145	SpacePig	5.48	3	2008
146	CosmicBreak Universal	5.44	1328	2008
147	X-Team	5.4	17	2008
148	The Abbey	5.4	61	2008
149	Legendary	5.38	2573	2008
150	SAGA	5.35	136	2008
151	Fetch It Again	5.34	5	2008
152	Nikopol: Secrets of the Immortals	5.33	382	2008
153	Defend Your Castle	5.26	51	2008
154	Sprint Cars Road to Knoxville	5.26	64	2008
155	Heileen 1: Sail Away	5.25	131	2008
156	Ringies	5.22	48	2008
157	Summer Athletics	5.17	47	2008
158	Billiards	5.16	32	2008
159	Conflict: Denied Ops	5.08	425	2008
160	Kingdom Elemental	5.08	31	2008
161	Aces of the Galaxy™	5	46	2008
162	The Nightshift Code™	5	8	2008
163	Premier Manager 09	5	10	2008
164	Space Trader: Merchant Marine	4.97	641	2008
165	Silent Hill Homecoming	4.83	3358	2008
166	Dr. Daisy Pet Vet	4.81	26	2008
167	Crazy Machines 2	4.8	257	2008
168	A-Train 8	4.78	61	2008
169	D.W.A.R.F.S.	4.74	18	2008
170	Hot Dish	4.69	32	2008
171	Paws and Claws: Pampered Pets	4.66	5	2008
172	Discovery! A Seek and Find Adventure	4.61	70	2008
173	Escape The Museum	4.54	72	2008
174	Planet Busters	4.52	3	2008
175	Margot's Word Brain	4.4	6	2008
176	Galactic Bowling	4.39	19	2008
177	Alone in the Dark (2008)	4.32	1365	2008
178	The Lost City Of Malathedra	3.83	13	2008
179	Gems	3.79	2	2008
180	Dimensity	3.74	25	2008
181	Sniper Art of Victory	3.65	1833	2008
182	Sherlock Holmes: The Mystery of the Mummy	3.6	482	2008
183	Eternity's Child	3.42	78	2008
1	Left 4 Dead 2	8.8	951611	2009
2	Plants vs. Zombies GOTY Edition	8.68	138097	2009
3	LEGO® Star Wars™ - The Complete Saga	8.48	23519	2009
4	Killing Floor	8.43	67300	2009
5	Trine Enchanted Edition	8.37	15256	2009
6	Machinarium	8.33	16628	2009
7	Incredibox	8.3	4561	2009
8	Call of Duty®: Modern Warfare® 2 (2009)	8.28	57823	2009
9	The Secret of Monkey Island: Special Edition	8.24	5760	2009
10	Braid	8.16	9724	2009
11	Command & Conquer™ 3: Kane’s Wrath	8.15	4935	2009
12	Serious Sam HD: The First Encounter	8.14	8131	2009
13	Zuma's Revenge!	8.13	2724	2009
14	Everyday Genius: SquareLogic	8.08	430	2009
15	Penumbra: Black Plague Gold Edition	8.07	2724	2009
16	Total War: EMPIRE – Definitive Edition	8.06	35100	2009
17	Dragon Age: Origins	8.04	10515	2009
18	Burger Shop 2	8.01	358	2009
19	Disney G-Force	7.95	748	2009
20	Company of Heroes: Tales of Valor	7.95	2299	2009
21	Torchlight	7.94	6908	2009
22	Alien Shooter 2: Reloaded	7.92	3249	2009
23	Epic Battle Fantasy Collection	7.91	318	2009
24	Red Faction Guerrilla Steam Edition	7.88	7618	2009
25	Altitude	7.88	1905	2009
26	Touhou Seirensen ~ Undefined Fantastic Object.	7.85	342	2009
27	Monkey GO Happy	7.84	199	2009
28	Mirror's Edge™	7.83	37424	2009
29	Men of War™	7.82	3577	2009
30	Risen	7.81	9741	2009
31	Warhammer 40,000: Dawn of War II - Anniversary Edition	7.81	12628	2009
32	Resident Evil 5	7.81	48069	2009
33	SPORE™ Galactic Adventures	7.81	7157	2009
34	Mini Ninjas	7.8	4481	2009
35	Windosill	7.78	1118	2009
36	Overlord II	7.78	4610	2009
37	FATE: The Traitor Soul	7.77	544	2009
38	The Sims™ 3	7.76	32687	2009
39	King's Bounty: Armored Princess	7.73	1220	2009
40	Tropico 3	7.68	1844	2009
41	SpellForce - Platinum Edition	7.63	2613	2009
42	Call of Juarez: Bound in Blood	7.62	4467	2009
43	Stronghold Legends: Steam Edition	7.57	2391	2009
44	Gemini Lost™	7.57	52	2009
45	Cogs	7.57	888	2009
46	Tales of Monkey Island: Complete Season	7.56	737	2009
47	Emerald City Confidential™	7.56	118	2009
48	F.E.A.R. 2: Project Origin	7.55	8425	2009
49	Samorost 2	7.53	2384	2009
50	Zeno Clash	7.51	2997	2009
51	Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan	7.51	136	2009
52	Tropico Reloaded	7.5	900	2009
53	Wallace & Gromit’s Grand Adventures	7.45	338	2009
54	Osmos	7.45	1369	2009
55	Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay	7.43	154	2009
56	Crayon Physics Deluxe	7.42	1119	2009
57	Command & Conquer: Red Alert 3 - Uprising	7.41	5243	2009
58	Zombie Bowl-o-Rama	7.4	432	2009
59	Mahjong Quest Collection	7.38	53	2009
60	Tales of Monkey Island Complete Pack: Chapter 5 - Rise of the Pirate God	7.36	178	2009
61	Fallout 3: Game of the Year Edition	7.36	50136	2009
62	Vehicle Simulator	7.35	275	2009
63	Men of War: Red Tide	7.34	811	2009
64	Secret Files: Tunguska	7.32	447	2009
65	Joint Operations: Combined Arms Gold	7.31	295	2009
66	Farm Frenzy 3	7.28	61	2009
67	Death to Spies: Moment of Truth	7.28	512	2009
68	AaAaAA!!! - A Reckless Disregard for Gravity	7.25	748	2009
69	Rush for Berlin Gold	7.24	174	2009
70	Crash Time 3	7.22	616	2009
71	AI War: Fleet Command	7.22	1581	2009
72	Prototype™	7.21	12039	2009
73	Groov	7.2	14	2009
74	Madballs in Babo:Invasion	7.16	289	2009
75	The Maw	7.14	338	2009
76	Bad Rats: the Rats' Revenge	7.13	14879	2009
77	Planet Alcatraz	7.13	675	2009
78	Secret Files 2: Puritas Cordis	7.12	205	2009
79	Eador: Genesis	7.1	424	2009
80	Knights of the Chalice	7.1	86	2009
81	Caster	7.09	3973	2009
82	Hunting Unlimited 2010	7.08	327	2009
83	Sherlock Holmes versus Jack the Ripper	7.07	1177	2009
84	Jewel Quest Pack	7.06	52	2009
85	Tom Clancy's EndWar™	7.03	968	2009
86	Time Gentlemen, Please! and Ben There, Dan That! Special Edition Double Pack	7.02	688	2009
87	Drakensang	7.01	724	2009
88	Farm Frenzy: Pizza Party	7.01	37	2009
89	Virtual Families	7	66	2009
90	Zenerchi®	6.97	16	2009
91	Coconut Queen	6.97	16	2009
92	Combat Wings: Battle of Britain	6.97	721	2009
93	Nancy Drew®: The Haunting of Castle Malloy	6.96	184	2009
94	Project Freedom	6.96	204	2009
95	Build-A-Lot 3: Passport to Europe	6.95	22	2009
96	Venetica - Gold Edition	6.91	705	2009
97	Nancy Drew® Dossier: Resorting to Danger!	6.91	107	2009
98	Two Worlds Epic Edition	6.9	5560	2009
99	Saints Row 2	6.88	20332	2009
100	Hotel Dash™ Suite Success™	6.88	104	2009
101	MilMo	6.87	649	2009
102	Zombie Shooter 2	6.87	823	2009
103	Hearts of Iron III	6.87	5939	2009
104	The Path	6.86	956	2009
105	Mystery P.I.™ - The New York Fortune	6.86	47	2009
106	STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition	6.85	10701	2009
107	Roogoo	6.84	335	2009
108	Dark Sector	6.82	2662	2009
109	World of Zoo	6.81	243	2009
110	Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood	6.79	156	2009
111	Unwell Mel	6.78	12	2009
112	Ceville	6.77	207	2009
113	SpellForce 2 - Anniversary Edition	6.7	1215	2009
114	Sea Dogs: City of Abandoned Ships	6.68	235	2009
115	Larva Mortus	6.68	744	2009
116	Tennis Elbow Manager	6.66	30	2009
117	Grand Ages: Rome	6.65	780	2009
118	ItzaZoo	6.63	15	2009
119	Blueberry Garden	6.6	156	2009
120	Romopolis	6.6	140	2009
121	Wedding Dash® 2: Rings Around the World	6.59	79	2009
122	Restaurant Empire II	6.59	356	2009
123	Mystery P.I. - Lost in Los Angeles	6.59	54	2009
124	Elven Legacy: Ranger	6.59	28	2009
125	Magnetis	6.58	41	2009
